dc.date.issued[en_US],dc.publisher,dc.date.issued[],dc.identifier.uri[],dc.title[en],dc.publisher[en_US],dc.date.issued,dc.identifier.uri,id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.title[],dc.contributor.author[],dc.contributor.author,dc.publisher[en]
,,2016-05-29,,,,,http://hdl.handle.net/1813/44263,45439,1813/47,,,A Stable Isotopic (Carbon And Nitrogen) Evaluation Of Regional Differences In Herded Animal Diet And Pastoral Risk Management Practices During The Xiongnu Period Of Mongolia.,"Cameron, Asa",,
,,2016-05-29,,,,,http://hdl.handle.net/1813/44266,45442,1813/47,,,Learning From Natural Human Interactions For Assistive Robots,"Jain, Ashesh",,
,,2016-02-01,http://hdl.handle.net/1813/42871,,,,,44004,1813/47,Farm Loan Demand Elasticities and the Relationship Between the Farm Credit System and Commerical Bank Lending,,,"Carduner, Amy",,
,,2016-02-01,http://hdl.handle.net/1813/42872,,,,,44005,1813/47,"Temporal and Spatial Coordination of the Hippocampus, Retrosplenial Cortex, and Anterior Thalamus",,,"Swanson, Rachel",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43555,44718,1813/47,,,Fuzzy-Trace Theory And The Neural Basis Of The Framing Effect In Adolescents,"Evans, Alyssa",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43557,44720,1813/47,,,There'S A New Left In Town: The Politics Of Solidarity In Occupied Jerusalem,"Grabiner Keinan, Adi",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43561,44724,1813/47,,,Aesthetic Impropriety: Properties Of Law And Politics In Postcolonial Literature,"Casey, Anna",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43563,44726,1813/47,,,Effects Of Salmonid Management On Native Species And Ecosystem Function In New York Streams,"Alexiades, Alexander",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43564,44727,1813/47,,,Micelle And Soft-Particle Dynamics,"Rolfe, Bryan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43565,44728,1813/47,,,The Evolutionary Ecology Of Elevational Specialization In Tropical Montane Birds,"Freeman, Benjamin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43567,44730,1813/47,,,Jointed Pipeline Response To Large Ground Movements,"Wham, Brad",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43569,44732,1813/47,,,Architecture And Synthesis For Dynamically Reconfigurable Asynchronous Fpgas,"Hill, Benjamin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43570,44733,1813/47,,,Extracting Opinions And Events From Text: Joint Inference Approaches,"Yang, Bishan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43575,44738,1813/47,,,Lost In Transportation: Trade Networks And The Materiality Of Cargoes In The Ancient Mediterranean,"Fulton, Carrie",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43577,44740,1813/47,,,"Discovering Gold In The Greater Antilles – The Natural History And Breeding Biology Of The Hispaniolan Golden Swallow, Followed By The Status Of The Critically Endangered Jamaican Golden Swallow","Proctor, Christopher",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43578,44741,1813/47,,,"Complexity In The Open Grazing System: Rangeland Ecology, Pastoral Mobility And Ethnobotanical Knowledge In Borana, Ethiopia","Liao, Chuan",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43580,44743,1813/47,,,Termination Of Replication Stress Signaling In Saccharomyces Cerevisiae,"Jablonowski, Carolyn",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43581,44744,1813/47,,,Efficient Ranking And Selection In Parallel Computing Environments,"Ni, Cao",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43588,44751,1813/47,,,Assessing The Mechanical Behavior Of Treatments For Focal Articular Cartilage Lesions,"Griffin, Darvin",,
,,2016-02-01,,,,,http://hdl.handle.net/1813/43589,44752,1813/47,,,Using Picosecond Heat Pulses To Measure Magnetization,"Ngai, Darryl",,
