dc.title[en_US],dc.date.issued[en_US],dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,,,,,"Cameron, Asa",http://hdl.handle.net/1813/44263,,,A Stable Isotopic (Carbon And Nitrogen) Evaluation Of Regional Differences In Herded Animal Diet And Pastoral Risk Management Practices During The Xiongnu Period Of Mongolia.,,1813/47,,2016-05-29,45439
,,,,,,"Jain, Ashesh",http://hdl.handle.net/1813/44266,,,Learning From Natural Human Interactions For Assistive Robots,,1813/47,,2016-05-29,45442
Farm Loan Demand Elasticities and the Relationship Between the Farm Credit System and Commerical Bank Lending,,,http://hdl.handle.net/1813/42871,,,"Carduner, Amy",,,,,,1813/47,,2016-02-01,44004
"Temporal and Spatial Coordination of the Hippocampus, Retrosplenial Cortex, and Anterior Thalamus",,,http://hdl.handle.net/1813/42872,,,"Swanson, Rachel",,,,,,1813/47,,2016-02-01,44005
,,,,,,"Evans, Alyssa",http://hdl.handle.net/1813/43555,,,Fuzzy-Trace Theory And The Neural Basis Of The Framing Effect In Adolescents,,1813/47,,2016-02-01,44718
,,,,,,"Grabiner Keinan, Adi",http://hdl.handle.net/1813/43557,,,There'S A New Left In Town: The Politics Of Solidarity In Occupied Jerusalem,,1813/47,,2016-02-01,44720
,,,,,,"Casey, Anna",http://hdl.handle.net/1813/43561,,,Aesthetic Impropriety: Properties Of Law And Politics In Postcolonial Literature,,1813/47,,2016-02-01,44724
,,,,,,"Alexiades, Alexander",http://hdl.handle.net/1813/43563,,,Effects Of Salmonid Management On Native Species And Ecosystem Function In New York Streams,,1813/47,,2016-02-01,44726
,,,,,,"Rolfe, Bryan",http://hdl.handle.net/1813/43564,,,Micelle And Soft-Particle Dynamics,,1813/47,,2016-02-01,44727
,,,,,,"Freeman, Benjamin",http://hdl.handle.net/1813/43565,,,The Evolutionary Ecology Of Elevational Specialization In Tropical Montane Birds,,1813/47,,2016-02-01,44728
,,,,,,"Wham, Brad",http://hdl.handle.net/1813/43567,,,Jointed Pipeline Response To Large Ground Movements,,1813/47,,2016-02-01,44730
,,,,,,"Hill, Benjamin",http://hdl.handle.net/1813/43569,,,Architecture And Synthesis For Dynamically Reconfigurable Asynchronous Fpgas,,1813/47,,2016-02-01,44732
,,,,,,"Yang, Bishan",http://hdl.handle.net/1813/43570,,,Extracting Opinions And Events From Text: Joint Inference Approaches,,1813/47,,2016-02-01,44733
,,,,,,"Fulton, Carrie",http://hdl.handle.net/1813/43575,,,Lost In Transportation: Trade Networks And The Materiality Of Cargoes In The Ancient Mediterranean,,1813/47,,2016-02-01,44738
,,,,,,"Proctor, Christopher",http://hdl.handle.net/1813/43577,,,"Discovering Gold In The Greater Antilles – The Natural History And Breeding Biology Of The Hispaniolan Golden Swallow, Followed By The Status Of The Critically Endangered Jamaican Golden Swallow",,1813/47,,2016-02-01,44740
,,,,,,"Liao, Chuan",http://hdl.handle.net/1813/43578,,,"Complexity In The Open Grazing System: Rangeland Ecology, Pastoral Mobility And Ethnobotanical Knowledge In Borana, Ethiopia",,1813/47,,2016-02-01,44741
,,,,,,"Jablonowski, Carolyn",http://hdl.handle.net/1813/43580,,,Termination Of Replication Stress Signaling In Saccharomyces Cerevisiae,,1813/47,,2016-02-01,44743
,,,,,,"Ni, Cao",http://hdl.handle.net/1813/43581,,,Efficient Ranking And Selection In Parallel Computing Environments,,1813/47,,2016-02-01,44744
,,,,,,"Griffin, Darvin",http://hdl.handle.net/1813/43588,,,Assessing The Mechanical Behavior Of Treatments For Focal Articular Cartilage Lesions,,1813/47,,2016-02-01,44751
,,,,,,"Ngai, Darryl",http://hdl.handle.net/1813/43589,,,Using Picosecond Heat Pulses To Measure Magnetization,,1813/47,,2016-02-01,44752
,,,,,,"Smart, Danya",http://hdl.handle.net/1813/43590,,,Insight Into The Mechanisms Of Transcription Regulation By A Merr-Family Metalloregulator Through Single-Molecule Analysis,,1813/47,,2016-02-01,44753
,,,,,,"Wayne, Elizabeth",http://hdl.handle.net/1813/43597,,,Investigation Of The Innate Immune Response To Circulating Tumor Cells In Preclinical Animal Models Of Cancer Metastasis,,1813/47,,2016-02-01,44760
