id,collection,dc.date.issued[],datacite.ObjectLocationURL: ,datacite.creator: ,datacite.title: ,datacite.publisher: ,datacite.publicationyear: ,datacite.resourcetype: 
45439,1813/47,2016-05-29,http://hdl.handle.net/1813/44263,"Cameron, Asa",A Stable Isotopic (Carbon And Nitrogen) Evaluation Of Regional Differences In Herded Animal Diet And Pastoral Risk Management Practices During The Xiongnu Period Of Mongolia.,Cornell University Library,2016,Text
45442,1813/47,2016-05-29,http://hdl.handle.net/1813/44266,"Jain, Ashesh",Learning From Natural Human Interactions For Assistive Robots,Cornell University Library,2016,Text
45456,1813/47,2016-05-29,http://hdl.handle.net/1813/44280,"Umbright, Christine",Ab Initio Theory Of Energy Storage Through Nanoscale Charge Separation And Transport,Cornell University Library,2016,Text
45464,1813/47,2016-05-29,http://hdl.handle.net/1813/44288,"Yao, Christine",Feeling Subjects: Science And Law In Nineteenth-Century America,Cornell University Library,2016,Text
45476,1813/47,2016-05-29,http://hdl.handle.net/1813/44300,"Blake, Elizabeth",Eating And Feeling: Pleasure And The Modernist Body,Cornell University Library,2016,Text
45477,1813/47,2016-05-29,http://hdl.handle.net/1813/44301,"Randles, Evan",Convolution Powers Of Complex-Valued Functions And Related Topics In Partial Differential Equations,Cornell University Library,2016,Text
45480,1813/47,2016-05-29,http://hdl.handle.net/1813/44304,"Dincer, Evren",The Reindustrialization Of The U.S.: An Ethnography Of Auto Workers In The Industrial Rust Belt,Cornell University Library,2016,Text
45483,1813/47,2016-05-29,http://hdl.handle.net/1813/44307,"Yilmaz, Erdal","Design, Analysis And Simulation Of Microscale Solid-Wave Gyroscopes",Cornell University Library,2016,Text
45487,1813/47,2016-05-29,http://hdl.handle.net/1813/44311,"Kim, HyunJung",Genetic Characterization Of The O. Rufipogon Species Complex And Construction Of Interspecific Pre-Breeding Resources For The Rice Improvement,Cornell University Library,2016,Text
45489,1813/47,2016-05-29,http://hdl.handle.net/1813/44313,"Wang, Hui",Quantifying And Reducing Uncertainty In Large Volume Remote Sensing Measurements Of Atmospheric Boundary Layer Flows,Cornell University Library,2016,Text
45490,1813/47,2016-05-29,http://hdl.handle.net/1813/44314,"Chen, I-Tzu",Plant-Mimetic Generation Of Negative Pressure In Water: From Fundamental Thermodynamics To Applications In Transport And Heat Transfer,Cornell University Library,2016,Text
45492,1813/47,2016-05-29,http://hdl.handle.net/1813/44316,"Small, Ian",Integration Of Epidemiological Information Into A Decision Support System For Late Blight,Cornell University Library,2016,Text
45495,1813/47,2016-05-29,http://hdl.handle.net/1813/44319,"Thomson, Jordan","Rich Man, Poor Man: Prosperity, Poverty, And The Significance Of Need",Cornell University Library,2016,Text
45500,1813/47,2016-05-29,http://hdl.handle.net/1813/44324,"Sutton, Julie","Structural Studies Of Model Rna Systems In Solution Using F{\""O}Rster Resonance Energy Transfer",Cornell University Library,2016,Text
45505,1813/47,2016-05-29,http://hdl.handle.net/1813/44329,"Albrecht, Kiel",Essays In Public Finance,Cornell University Library,2016,Text
45507,1813/47,2016-05-29,http://hdl.handle.net/1813/44331,"Molde, Klas Erik",Enchantment And Embarrassment In The Lyric,Cornell University Library,2016,Text
45511,1813/47,2016-05-29,http://hdl.handle.net/1813/44335,"Smith, Laura","Evaluation Of Food-Chain Mycotoxin Exposure In Rural Zimbabwe: Determinants, Effects And Mechanisms",Cornell University Library,2016,Text
45515,1813/47,2016-05-29,http://hdl.handle.net/1813/44339,"de la Garza, Lucas","Multi-Object, Multi-Sensor Detection And Tracking Of Pedestrians On A Mobile Robot",Cornell University Library,2016,Text
45518,1813/47,2016-05-29,http://hdl.handle.net/1813/44342,"Grayson, Malika",Urban Wind: Impact Of Building Geometry On The Wind Energy Yield Potential Above Rooftops Of Buildings,Cornell University Library,2016,Text
45519,1813/47,2016-05-29,http://hdl.handle.net/1813/44343,"Bentley, Michael",Boomerang Bias: Examining The Effect Of Parental Coresidence On Millennial Financial Behavior,Cornell University Library,2016,Text
45527,1813/47,2016-05-29,http://hdl.handle.net/1813/44351,"Mashfiqui Rabbi Shuvo, Mohammod",Automated Mobile Systems For Personalized Health Feedback,Cornell University Library,2016,Text
45532,1813/47,2016-05-29,http://hdl.handle.net/1813/44356,"Zhao, Nellie",Essays In Labor And Macroeconomics,Cornell University Library,2016,Text
45537,1813/47,2016-05-29,http://hdl.handle.net/1813/44361,"Chen, Po-Cheng","Micro-Fabricated Silicon Based Probes For Biomedical Applications: Reliable Neural Interface, Electro-Mechano Tissue Assay Surgical Tweezer, And Fluid Viscosity Sensing",Cornell University Library,2016,Text
45542,1813/47,2016-05-29,http://hdl.handle.net/1813/44366,"Lam, Quy-Steven",A Learning Management System To Capture And Derive Student Concept Maps,Cornell University Library,2016,Text
45545,1813/47,2016-05-29,http://hdl.handle.net/1813/44369,"Garg, Rohit",Dynamical Diffraction As An Angular Slit Optical Element,Cornell University Library,2016,Text
45550,1813/47,2016-05-29,http://hdl.handle.net/1813/44374,"Gajare, Rashmi",An Analysis Of Green Building Rating Systems In The Context Of Historic Preservation,Cornell University Library,2016,Text
45555,1813/47,2016-05-29,http://hdl.handle.net/1813/44379,"Messick, Scott","Continuous Automata, Compactness, And Young Measures",Cornell University Library,2016,Text
45556,1813/47,2016-05-29,http://hdl.handle.net/1813/44380,"Chamberlain, Samuel",Methane Fluxes In Human-Dominated Ecosystems: From Pastures To Cities,Cornell University Library,2016,Text
45559,1813/47,2016-05-29,http://hdl.handle.net/1813/44383,"Lee, Seoho",Smartphone Enabled Biosensor Systems For Nutrition Diagnostics And Preventive Care At The Point-Of-Need,Cornell University Library,2016,Text
45562,1813/47,2016-05-29,http://hdl.handle.net/1813/44386,"Che, Sara",Interaction Of Tumor-Derived Tissue Factor With Endothelial Cells In The Context Of Cancer Metastasis,Cornell University Library,2016,Text
45570,1813/47,2016-05-29,http://hdl.handle.net/1813/44394,"Srinivasan, Tara",Notch Signaling: Mechanistic And Functional Studies In Intestinal Stem Cells And Colorectal Cancer Cells,Cornell University Library,2016,Text
45573,1813/47,2016-05-29,http://hdl.handle.net/1813/44397,"Thapar, Vikram",Understanding The Kinetics And Thermodynamics Of Self Assembly Of Faceted Polyhedral Particles Using Computer Simulations,Cornell University Library,2016,Text
45574,1813/47,2016-05-29,http://hdl.handle.net/1813/44398,"Cheng, Wei",Carbon Sequestration In Concrete,Cornell University Library,2016,Text
45580,1813/47,2016-05-29,http://hdl.handle.net/1813/44404,"Pan, Yuanyuan",The Anti-Corruption Campaign And Catering Industry In China,Cornell University Library,2016,Text
45581,1813/47,2016-05-29,http://hdl.handle.net/1813/44405,"Shi, Yongren",Three Studies Of Network Dynamics,Cornell University Library,2016,Text
